# List of S-integral points (x,y) on the elliptic curve
# y^2 + x*y = x^3 - 5818216808130*x + 5401285759982786436, where
# S is the set of the first 12 primes.
# It contains 1040 points in total.
# For each point P, only one of +P, -P is listed.
# Format: "(P(x),P(y))".
# Computing this list took 191308 seconds.
# Authors: Rafael von Känel and Benjamin Matschke, 2015.
# License: Creative commons 3.0 by-nc.
#
(276971466864/162409,43302651160135782/65450827)
(176181861666/104329,21064113656507940/33698267)
(15801171216/13225,598479641837766/1520875)
(6032527275/5476,232097408562219/405224)
(4422903678/2401,113619115928226/117649)
(10849785768/361,1126502842712586/6859)
(29646283129/9216,3952540746297475/884736)
(405933298356/279841,17273382802073094/148035889)
(53185208025/7744,11590521260094543/681472)
(2678633632/2601,93884888673034/132651)
(16245971256/961,2050437103286358/29791)
(3905638374/2401,57687784802040/117649)
(40495033146/4225,7911160278172386/274625)
(68738866782/20449,14268876481955616/2924207)
(78132183967/324,21837821848216973/5832)
(252755711949/8464,126658558185310869/778688)
(4206528078/529,261456162528048/12167)
(417136644226/275625,36002407324086524/144703125)
(-25059545304/14641,5699635303177866/1771561)
(5131974999/4900,231562390543203/343000)
(30456298424/841,5303210083409494/24389)
(32523747441/123904,86038591526202585/43614208)
(41577171936/28561,615463484406642/4826809)
(63023752506/67081,15180672324705852/17373979)
(305452593449/102400,125105141459600053/32768000)
(999159156/25,31524167988606/125)
(49298490066/21025,6570561186245154/3048625)
(5059234224/361,354794751654474/6859)
(13678879929/64,1599681099229137/512)
(386465183274/330625,84372077742833868/190109375)
(1470494230/1521,48884187688526/59319)
(198796228840/23409,85377324542296202/3581577)
(1383703361/1024,2645725718353/32768)
(-2069639563/784,33780515000051/21952)
(220002540528/142129,17241610800366402/53582633)
(215829994494/152881,1931714082795360/59776471)
(4639219026/961,282262847612436/29791)
(-29939752662/64009,45866428197121578/16194277)
(5088589902/1369,300128290371642/50653)
(-1721187916/841,72113083285390/24389)
(14016446526/625,1650020199319776/15625)
(24647091375/196,3868564341183639/2744)
(208796124658/159201,10298955393146036/63521199)
(3206262864/9025,1575906881617698/857375)
(64154147347/12996,14585922603142531/1481544)
(231286466388/162409,3947933305641378/65450827)
(430150141089/78400,258416288197796877/21952000)
(7857832629/4624,203869180179087/314432)
(136609836564/525625,753164482824697038/381078125)
(81671447055/9604,22484269742207253/941192)
(-5041369814/2025,192470354506324/91125)
(-23754291459/10000,2413303241098611/1000000)
(94414620738/41209,16924234539435558/8365427)
(-45369375432/28561,15744853866645786/4826809)
(27108850467/1156,4440213344283951/39304)
(103764738036/17689,30948501175770270/2352637)
(25850594068/42849,12883697211367882/8869743)
(11311421236/1089,1172930571728870/35937)
(3303629054730/2393209,46541024134874508/3702294323)
(26841949920/17689,605280015992742/2352637)
(27763675146/20449,196508797784382/2924207)
(341038146909/250000,6668230660322577/125000000)
(22318686354/15625,135972494851308/1953125)
(23781624980/1369,3633374578134638/50653)
(2511718414/441,116020636737536/9261)
(6017107363/4356,2467007340439/287496)
(917790071/676,1182078575341/17576)
(738992128242/43681,629062585278232866/9129329)
(210249614496/13225,95343061826471574/1520875)
(45502302882,9706195775343324)
(49331874804/34969,194881763506338/6539203)
(-752074797120/395641,770989067383334406/248858189)
(189254295801/10816,81577997750982039/1124864)
(99670549890/289,31465018734890082/4913)
(31649653984/6561,5028841702597346/531441)
(2780354682004/2030625,121894312870741142/2893640625)
(2720780001/64,141684357576885/512)
(59058249882/47089,2828606405264004/10218313)
(126811027929/92416,991195690030059/28094464)
(272306568713/87616,107952028370747359/25934336)
(52642512724/21609,7570141121034274/3176523)
(3872673641136/3258025,2384418147268461594/5880735125)
(1500003089621/1024144,151550910605679383/1036433728)
(21229765712/14641,204609300617954/1771561)
(-1874932300/961,91007357360954/29791)
(4127115415/2916,6421649241311/157464)
(79859440641/12544,21134479321731495/1404928)
(14326273881/256,1713064556121531/4096)
(39061147206/20449,3276044494823400/2924207)
(121274084052/117649,28488099642195738/40353607)
(133427575713/92416,2874658144910457/28094464)
(2672097989/784,110080409972651/21952)
(2155604363994/1500625,159684163340360772/1838265625)
(106377146985/33856,26522278191996231/6229504)
(164737162461/115600,2453105593349121/39304000)
(66952870077/94864,37481011775624481/29218112)
(66955731561/18496,14175493350687903/2515456)
(-369664704186/165649,181877463915496584/67419143)
(37631217684,7299973559672886)
(814014914529/577600,11487260737175997/438976000)
(-5387863395/1936,16946144732511/85184)
(290974846314/105625,110012155465422612/34328125)
(6130206886/4761,69079793683624/328509)
(-56677936488/405769,644198931279320754/258474853)
(-10569303666/4225,569883269608368/274625)
(200056960/6561,1214646310865474/531441)
(40727982408/34969,2955320504300622/6539203)
(150211606144/29241,52685134003349830/5000211)
(953577916500/707281,51800454316834374/594823321)
(11704826359/8100,76544445671893/729000)
(22777705274/361,3434983780512374/6859)
(-7436355000/116281,95273862871317126/39651821)
(29001158034/15625,1947833715296202/1953125)
(7479464304/25921,8077120398215646/4173281)
(164590183785/64,66773082032941407/512)
(25111942696/18225,51058991475314/2460375)
(359506223976/105625,171677106504081426/34328125)
(3598087793664/330625,6668935502195486562/190109375)
(-506015423052/724201,1861944501045611634/616295051)
(10558736807700/8116801,4247168469073038006/23124766049)
(30240634590/20449,514719538393182/2924207)
(281746249122/25921,146120875455986754/4173281)
(-18113098604/13689,5260403444298670/1601613)
(561939322169/73984,402090456488125099/20123648)
(130623139488/41209,36265131203528058/8365427)
(21176810034/529,3075990328550196/12167)
(-1871451426/1225,140439759670512/42875)
(45218293758/25921,3120182443723008/4173281)
(23351333812/8649,2461522333393678/804357)
(101611780104/2401,32336396717215674/117649)
(819048456576/105625,708844974072912474/34328125)
(-27471216336/83521,65127983934722034/24137569)
(4712793089664/13225,10230482876103611382/1520875)
(285172559166/279841,107744316435923682/148035889)
(408948381705/295936,856661345809419/160989184)
(1281758449926/600625,764892824035890126/465484375)
(1031290159467/33124,1044152845173013029/6028568)
(1104972382816/680625,271451583973192786/561515625)
(59179985673/43264,406038539411283/8998912)
(496496406978/961,349832284908629694/29791)
(2085012230/289,90432817211842/4913)
(374374879380/279841,16078589953818774/148035889)
(58593307833/65536,16032974151234093/16777216)
(19507211686452/14115049,224428618386857262/53030239093)
(1238727186498/693889,484430572966025148/578009537)
(689977191369/160000,497687801993296797/64000000)
(1423978313664/1030225,2224322044737582/1045678375)
(2845242080409/1308736,2603544758590614879/1497193984)
(574763277754/11025,435257585839017682/1157625)
(-147354578808/277729,422693977123475394/146363183)
(132602087019/96100,437631632331177/29791000)
(11746197632/49,1272946138628942/343)
(15827416032756/12355225,9701983339649288034/43428615875)
(-118527045612/43681,10053806799216822/9129329)
(4728814792/8649,1241628542852098/804357)
(2148907638870,3150115491198270984)
(8531484430179/5597956,3592159650169887705/13244763896)
(-340192977420/130321,78799160112482646/47045881)
(368278378809/1024,223482304364470659/32768)
(-2883560677071/1048576,836571507998128599/1073741824)
(13653714531/4,1595410340608995/8)
(1998227906260/7569,2824464369473608858/658503)
(157787212179/136900,24076164283481127/50653000)
(3878414622081/3385600,3045028855897458951/6229504000)
(1023508833414/717409,40047118072867368/607645423)
(4519563963729/2238016,4596257737979157141/3348071936)
(1261556510817/937024,82545070363047573/907039232)
(-1493861428176/8265625,60339973960637472918/23763671875)
