# List of S-integral points (x,y) on the elliptic curve
# y^2 + y = x^3 - 6349808647*x + 193146346911036
# assuming that the Mordell-Weil rank is at most the analytic rank of this curve (as predicted by BSD), where
# S is the set of the first 7 primes.
# It contains 2316 points in total.
# For each point P, only one of +P, -P is listed.
# Format: "(P(x),P(y))".
# Computing this list took 1317329 seconds.
# Authors: Rafael von Känel and Benjamin Matschke, 2015.
# License: Creative commons 3.0 by-nc.
#
(-5164148/81,13419025471/729)
(11129113/144,22131107875/1728)
(11563792/289,8697099004/4913)
(9812665,30737333037)
(-3664919/100,19407107729/1000)
(10028257/4,31741055389/8)
(-5767046/81,12292362874/729)
(14049737/256,12928065029/4096)
(10190641/16,32288005001/64)
(4324665/196,21914639713/2744)
(15281132/289,11233627783/4913)
(10983607/81,31146668846/729)
(10572969/4,34363727767/8)
(3973937/196,23402565675/2744)
(15466313/289,12621013362/4913)
(-6996338/81,7187420521/729)
(-7055801/81,6732753209/729)
(10634011/289,14997795793/4913)
(10515688/289,15747694612/4913)
(-7366136/81,3137026004/729)
(-7446137/81,96773689/729)
(-3359835/121,24831404662/1331)
(11436465,38674721357)
(13350867/169,29845314101/2197)
(12638894/121,34440109971/1331)
(12159031/81,37332334585/729)
(9869502/289,19728846558/4913)
(12247897/324,15571867337/5832)
(-4243588/121,25695676200/1331)
(11998024/25,41018882143/125)
(12137885/49,40322747646/343)
(12045027,41802493374)
(16449828/289,19731040000/4913)
(-6899791/100,17400882323/1000)
(-4670588/121,25971091200/1331)
(15022006/225,27585746279/3375)
(-4830702/121,26048825271/1331)
(-4928211/121,26089105686/1331)
(9183959/289,23792069310/4913)
(12883798/49,44327295375/343)
(13031033/49,45131198475/343)
(12949838,46600255758)
(-5645593/121,26212345075/1331)
(-5745057/121,26204099923/1331)
(13053539/25,46641928038/125)
(14342473/144,40479674725/1728)
(13891961/100,44631775791/1000)
(18689617/441,3687979114/9261)
(17572731/289,27730742398/4913)
(-6693133/121,25779361875/1331)
(-1950922/169,35758470125/2197)
(13878869/49,49844931422/343)
(-6947146/121,25548789691/1331)
(17752943/289,29018732337/4913)
(18011366/289,30869845449/4913)
(14399023/49,52806948375/343)
(7381110/289,33907173561/4913)
(14436215,54849593057)
(7161989/289,35087669917/4913)
(16035210/169,46338812274/2197)
(14739701/25,56096800426/125)
(16597753/196,44474493127/2744)
(-8358734/121,23135467510/1331)
(1511941/225,41442569614/3375)
(23903185/484,873936861/10648)
(24019185/484,5293061261/10648)
(3844553/256,41199589893/4096)
(15368265/16,60046156443/64)
(14419849/400,26638122757/8000)
(15617289/4,61704765127/8)
(15698258/49,60431734350/343)
(-9611318/121,18650530575/1331)
(-9993551/121,16528154838/1331)
(-10380735/121,13733809942/1331)
(17488501/169,55762331162/2197)
(20475409/324,38794954085/5832)
(-10882274/121,8071410570/1331)
(-11112169/121,1762861875/1331)
(17149966,71021561294)
(17811215/121,65853809722/1331)
(17934537/121,66659144950/1331)
(17442529/16,72657994289/64)
(-9700247/144,30679261397/1728)
(17554038,73546343241)
(-7298308/169,43210325976/2197)
(871889/256,53649713433/4096)
(15248794/441,35779217473/9261)
(3638638/289,52730764737/4913)
(18224737/81,73461326021/729)
(418665/256,55374248907/4096)
(18235802/49,76216255494/343)
(18205027/9,77616635707/27)
(22042849/324,50856730813/5832)
(18252694,77980556073)
(-2689664/225,55183480084/3375)
(18429615,79117096577)
(14616844/441,40469016491/9261)
(28854457/576,12098948525/13824)
(19206093/121,75108292246/1331)
(21131977/256,62315966075/4096)
(-11571887/144,23469621625/1728)
(19467640/121,76878691617/1331)
(19087268/49,81765928425/343)
(-794559/256,59754537375/4096)
(-9787623/169,42067835802/2197)
(26242994/625,11632562597/15625)
(-12664415/144,14595823151/1728)
(30950411/625,5824037966/15625)
(-10091168/169,41650722927/2197)
(21952633/256,68442945843/4096)
(31121106/625,10187216754/15625)
(27137273/484,38954935377/10648)
(19940618,89043958458)
(20154817/81,86314519621/729)
(-10752158/169,40487197226/2197)
(733310/289,65372562481/4913)
(23173049/289,69398367922/4913)
(12691261/441,54193303529/9261)
(-11460019/169,38801625786/2197)
(-11504440/169,38678839044/2197)
(21962473/576,35153848459/13824)
(21486397/121,90907401975/1331)
(24989246/625,27866439081/15625)
(21420790,99140299062)
(-13224667/169,31902645978/2197)
(24507017/289,79898297458/4913)
(28679017/484,53174408559/10648)
(30991612/729,3601857653/19683)
(-14087540/169,26293664424/2197)
(-14407613/169,23547354102/2197)
(-14597957/169,21653885525/2197)
(-14746807/169,19993803153/2197)
(27076241/676,30801946869/17576)
(-8805896/225,65938985308/3375)
(23881913/169,101104297553/2197)
(30218332/729,21199459528/19683)
(23190271/625,45883820681/15625)
(33541801/625,41161527701/15625)
(33318209/784,4770801855/21952)
(22836414/625,49201583913/15625)
(33865546/625,44660127594/15625)
(-7155103/256,76496279279/4096)
(33073161/784,13002760581/21952)
(29646136/441,77528598335/9261)
(25188739/169,111111174390/2197)
(38825473/784,8230543775/21952)
(-4766679/289,84153133554/4913)
(25490529/676,47568184971/17576)
(4897401/400,86621117101/8000)
(-5317966/289,85627270210/4913)
(25240426/81,123009146090/729)
(25514869/81,125100224002/729)
(21445611/625,61842102734/15625)
(7343596/441,88840913995/9261)
(25675168/49,128672915925/343)
(31984289/784,31017646353/21952)
(31652281/484,80796821489/10648)
(25834003/9,131256833275/27)
(-6674609/289,88907560113/4913)
(31664417/784,35194330991/21952)
(35588419/625,62893292553/15625)
(-17278887/196,22592725329/2744)
(20126689/625,73387613762/15625)
(38854762/729,48685831903/19683)
(27262660/9,142299551744/27)
(-12315623/256,80607240579/4096)
(-9036859/289,93363368349/4913)
(28268915/121,142494423162/1331)
(39870199/729,60530151907/19683)
(28552385/64,150283156959/512)
(28630162/9,153144256607/27)
(28726489/64,151686880483/512)
(28925059/81,151980288857/729)
(29168362/121,149822252719/1331)
(29109116/25,156693431211/125)
(6913329/484,109297235067/10648)
(29829335/169,148540721174/2197)
(29282751/25,158101753126/125)
(29456731,159873040929)
(38018399/625,88351585518/15625)
(40955944/729,72938941217/19683)
(12952465/576,108612555193/13824)
(1705069/441,120269489066/9261)
(42813409/784,66733099343/21952)
(38987476/625,98551702151/15625)
(-13811277/289,96707125425/4913)
(31531284/25,176711556048/125)
(46753969/900,50328572797/27000)
(32840524/225,164504342393/3375)
(50628569/1024,8066582685/32768)
(-18505239/256,67854563595/4096)
(32496181/81,181837411586/729)
(34474819/289,165385612657/4913)
(37744369/484,139738788237/10648)
(33158317/121,183619796919/1331)
(33029964/25,189491201563/125)
(45928543/1089,21596926625/35937)
(-5958719/400,134920972929/8000)
(41367316/625,123845245511/15625)
(33975441/4,198028915699/8)
(34353652/81,198027022096/729)
(20552785/729,118971937846/19683)
(41882691/625,129376293614/15625)
(-18569181/289,90039900657/4913)
(-22695823/256,31535608329/4096)
(44565151/729,113799460483/19683)
(32415409/900,90226530827/27000)
(-19336563/289,87676045458/4913)
(42545924/625,136524567968/15625)
(36983360/289,188766866476/4913)
(19519873/729,128045525750/19683)
(35462344/25,210852884703/125)
(36031609/169,202920436250/2197)
(-21348191/289,79086005202/4913)
(36629008/121,214665841396/1331)
(36631001/25,221382536874/125)
(55597147/1089,51267046942/35937)
(36918940/81,221100379183/729)
(38754161/1024,86939283319/32768)
(51761721/1225,22743241606/42875)
(51490266/1225,30551222311/42875)
(38017556/25,234094485171/125)
(12407177/676,159918278625/17576)
(38582692/9,239615154757/27)
(-24867006/289,49730769405/4913)
(39989977/256,224835244829/4096)
(-25259043/289,44071169533/4913)
(-25974299/289,30222913309/4913)
(15128926/729,165040380458/19683)
(56882457/1024,112698543613/32768)
(58715878/1089,98570414438/35937)
(42216035/49,273159752151/343)
(44285737/324,252792048887/5832)
(46608577/484,231991664259/10648)
(15507601/784,190471372391/21952)
(43433419/9,286204980763/27)
(44875571/289,266896698033/4913)
(9859306/729,206195351903/19683)
(44555249/49,296299159787/343)
(59362217/1024,146031894763/32768)
(45076729/144,293655272365/1728)
(45295987,304851909374)
(45573313,307655893133)
(48505888/441,266064538076/9261)
(64639576/1521,12845618605/59319)
(46692529/81,316158305797/729)
(46778162,319936729250)
(75266266/1521,19031912515/59319)
(53173784/625,256142959827/15625)
(75300796/1521,21025669985/59319)
(29224233/1024,194334704725/32768)
(53597371/625,261113512206/15625)
(-4127351/625,239420160482/15625)
(-18043967/484,207036532227/10648)
(50177153/256,329686280511/4096)
(50494665/256,333128152197/4096)
(63293201/1024,198799713273/32768)
(76695784/1521,64201045949/59319)
(-28809831/400,133112465053/8000)
(77298556/1521,77381397800/59319)
(51134322/49,364616253819/343)
(15471241/900,254819417039/27000)
(75050833/1764,3855164725/74088)
(54548253/289,371539779837/4913)
(-15650927/576,257000289209/13824)
(58754516/625,322872386439/15625)
(56280053/49,421222768350/343)
(58997878/441,386089056613/9261)
(61559039/625,357411684462/15625)
(-30542927/484,197074444475/10648)
(-5944262/729,307697922350/19683)
(57484629,435840096621)
(58230978/49,443381625182/343)
(59509292,459067751799)
(62310249/484,413687487225/10648)
(61003321/324,439231108447/5832)
(60005717/49,463863807819/343)
(20848228/1089,318604868063/35937)
(61142915/121,472480649107/1331)
(72709561/1024,328119735763/32768)
(-11308637/729,333982309850/19683)
(61614337/9,483607890982/27)
(74086057/1024,347483358613/32768)
(63584424/49,506086762845/343)
(64553497/4,518649993289/8)
