2: 1 + 1 = 2 (1.000): 1 + 1 = 2^1
2,3: 1 + 8 = 9 (1.226): 1 + 2^3 = 3^2
2,5,11,13,23: 1375 + 279841 = 281216 (1.206): 5^3 11^1 + 23^4 = 2^7 13^3
2,3,13,19,23: 8303 + 28561 = 36864 (1.008): 19^2 23^1 + 13^4 = 2^12 3^2
2,3,13,19,23: 529 + 129792 = 130321 (1.129): 23^2 + 2^8 3^1 13^2 = 19^4
2,3,11,19,29: 14641 + 26912 = 41553 (1.013): 11^4 + 2^5 29^2 = 3^7 19^1
2,3,11,19,29: 29 + 131043 = 131072 (1.122): 29^1 + 3^1 11^2 19^2 = 2^17
2,3,5,7,11,17: 7168 + 46875 = 54043 (1.030): 2^10 7^1 + 3^1 5^6 = 11^1 17^3
2,3,5,7,11,17: 19683 + 40817 = 60500 (1.041): 3^9 + 7^4 17^1 = 2^2 5^3 11^2
2,3,5,7,11,17: 625 + 78608 = 79233 (1.066): 5^4 + 2^4 17^3 = 3^1 7^4 11^1
2,3,5,7,11,17: 2187 + 114688 = 116875 (1.103): 3^7 + 2^14 7^1 = 5^4 11^1 17^1
2,3,5,7,11,17: 119 + 234256 = 234375 (1.169): 7^1 17^1 + 2^4 11^4 = 3^1 5^7
2,3,5,7,11,17: 35937 + 204800 = 240737 (1.171): 3^3 11^3 + 2^13 5^2 = 7^2 17^3
2,3,5,7,11,17: 6125 + 334611 = 340736 (1.204): 5^3 7^2 + 3^9 17^1 = 2^8 11^3
2,3,5,7,11,17: 132651 + 588245 = 720896 (1.275): 3^3 17^3 + 5^1 7^6 = 2^16 11^1
2,3,5,7,11,17: 32768 + 859375 = 892143 (1.295): 2^15 + 5^7 11^1 = 3^2 7^3 17^2
2,3,5,7,11,17: 33 + 2000000 = 2000033 (1.372): 3^1 11^1 + 2^7 5^6 = 7^6 17^1
2,5,13,17,19: 296875 + 371293 = 668168 (1.260): 5^6 19^1 + 13^5 = 2^3 17^4
2,3,13,19,29: 13 + 219488 = 219501 (1.153): 13^1 + 2^5 19^3 = 3^2 29^3
2,3,5,7,11,19: 11552 + 34375 = 45927 (1.004): 2^5 19^2 + 5^5 11^1 = 3^8 7^1
2,3,5,7,11,19: 2048 + 60025 = 62073 (1.032): 2^11 + 5^2 7^4 = 3^3 11^2 19^1
2,3,5,7,11,19: 361 + 75264 = 75625 (1.051): 19^2 + 2^9 3^1 7^2 = 5^4 11^2
2,3,5,7,11,19: 95 + 130977 = 131072 (1.102): 5^1 19^1 + 3^5 7^2 11^1 = 2^17
2,3,5,7,11,19: 3773 + 151875 = 155648 (1.118): 7^3 11^1 + 3^5 5^4 = 2^13 19^1
2,3,5,7,11,19: 45 + 184832 = 184877 (1.135): 3^2 5^1 + 2^9 19^2 = 7^5 11^1
2,3,5,7,11,19: 1 + 228095 = 228096 (1.154): 1 + 5^1 7^4 19^1 = 2^8 3^4 11^1
2,3,5,7,11,19: 105875 + 130321 = 236196 (1.157): 5^3 7^1 11^2 + 19^4 = 2^2 3^10
2,3,5,7,11,19: 15625 + 701784 = 717409 (1.261): 5^6 + 2^3 3^5 19^2 = 7^2 11^4
2,3,5,7,11,19: 768 + 1127357 = 1128125 (1.304): 2^8 3^1 + 7^1 11^5 = 5^5 19^2
2,3,5,7,13,17: 2704 + 50421 = 53125 (1.013): 2^4 13^2 + 3^1 7^5 = 5^5 17^1
2,3,5,7,13,17: 637 + 52488 = 53125 (1.013): 7^2 13^1 + 2^3 3^8 = 5^5 17^1
2,3,5,7,13,17: 2401 + 81120 = 83521 (1.055): 7^4 + 2^5 3^1 5^1 13^2 = 17^4
2,3,5,7,13,17: 2125 + 85683 = 87808 (1.059): 5^3 17^1 + 3^1 13^4 = 2^8 7^3
2,3,5,7,13,17: 16807 + 147968 = 164775 (1.118): 7^5 + 2^9 17^2 = 3^1 5^2 13^3
2,3,5,7,13,17: 1 + 336140 = 336141 (1.184): 1 + 2^2 5^1 7^5 = 3^2 13^3 17^1
2,3,5,7,13,17: 10816 + 520625 = 531441 (1.227): 2^6 13^2 + 5^4 7^2 17^1 = 3^12
2,3,5,7,13,17: 8192 + 634933 = 643125 (1.245): 2^13 + 13^3 17^2 = 3^1 5^4 7^3
2,3,5,7,13,17: 303264 + 390625 = 693889 (1.252): 2^5 3^6 13^1 + 5^8 = 7^4 17^2
2,3,5,7,13,17: 10125 + 1075648 = 1085773 (1.293): 3^4 5^3 + 2^6 7^5 = 13^1 17^4
2,3,5,7,13,19: 6912 + 48013 = 54925 (1.005): 2^8 3^3 + 7^1 19^3 = 5^2 13^3
2,3,5,7,13,19: 56 + 59319 = 59375 (1.012): 2^3 7^1 + 3^3 13^3 = 5^5 19^1
2,3,5,7,13,19: 4 + 60021 = 60025 (1.013): 2^2 + 3^5 13^1 19^1 = 5^2 7^4
2,3,5,7,13,19: 1960 + 59049 = 61009 (1.015): 2^3 5^1 7^2 + 3^10 = 13^2 19^2
2,3,5,7,13,19: 324 + 117325 = 117649 (1.075): 2^2 3^4 + 5^2 13^1 19^2 = 7^6
2,3,5,7,13,19: 24696 + 105625 = 130321 (1.085): 2^3 3^2 7^3 + 5^4 13^2 = 19^4
2,3,5,7,13,19: 125 + 157339 = 157464 (1.102): 5^3 + 7^2 13^2 19^1 = 2^3 3^9
2,3,5,7,13,19: 6517 + 196608 = 203125 (1.126): 7^3 19^1 + 2^16 3^1 = 5^6 13^1
2,3,5,7,13,19: 3125 + 218491 = 221616 (1.134): 5^5 + 7^5 13^1 = 2^4 3^6 19^1
2,3,5,7,13,19: 117649 + 144495 = 262144 (1.149): 7^6 + 3^2 5^1 13^2 19^1 = 2^18
2,3,5,7,13,19: 28561 + 702464 = 731025 (1.244): 13^4 + 2^11 7^3 = 3^4 5^2 19^2
2,3,5,7,11,23: 15625 + 48384 = 64009 (1.017): 5^6 + 2^8 3^3 7^1 = 11^2 23^2
2,3,5,7,11,23: 2875 + 61952 = 64827 (1.018): 5^3 23^1 + 2^9 11^2 = 3^3 7^4
2,3,5,7,11,23: 121 + 78125 = 78246 (1.036): 11^2 + 5^7 = 2^1 3^5 7^1 23^1
2,3,5,7,11,23: 15 + 85169 = 85184 (1.043): 3^1 5^1 + 7^1 23^3 = 2^6 11^3
