# List of S-integral points (x,y) on the Mordell curve
# y^2 = x^3 + 1632201497, of rank 8, where
# S is the set of the first 40 primes.
# It contains 1476 points in total.
# For each point P, only one of +P, -P is listed.
# Format: "(P(x),P(y))".
# Computing this list took 1208750 seconds.
# Authors: Rafael von Känel and Benjamin Matschke, 2015.
# License: Creative commons 3.0 by-nc.
#
(34,40401)
(195161152/3721,2726418475335/226981)
(120273568/83521,1640366418843/24137569)
(85271332/101761,1529700306075/32461759)
(33320953/68644,751619637165/17984728)
(3584137/71824,777692300709/19248832)
(-44970271/38416,39892017199/7529536)
(-67043972/62001,296078674643/15438249)
(-8863042/67081,701421555533/17373979)
(141657514/83521,1947710746719/24137569)
(-69691901/70225,476203886118/18609625)
(68502887/16129,572981916244/2048383)
(108526678/108241,1829789758383/35611289)
(20506426/71289,774576522163/19034163)
(-34532287/45796,339983257217/9800344)
(89351866/56169,1001302727563/13312053)
(144899018,1744207555073)
(53510657/37636,490137637855/7301384)
(177175702/83521,2552003132775/24137569)
(-46138103/46656,259905753755/10077696)
(-2532113/89401,1079934531300/26730899)
(96134351/1369,942581521732/50653)
(169410649/3136,2205023932509/175616)
(82190441/21904,756552484427/3241792)
(61060036/148225,2354374381659/57066625)
(91693969/80656,1275679108281/22906304)
(-75240716/152881,2325139884909/59776471)
(119726632/142129,2530302106701/53582633)
(-64482682/89401,947710285573/26730899)
(17612716/162409,2645279933847/65450827)
(108237866/70225,1353999535961/18609625)
(-32104063/58564,542912808289/14172488)
(241952932/82369,3882829870779/23639903)
(26476171/59049,595495829042/14348907)
(-114814991/98596,225537821289/30959144)
(315952234/7921,5616137477961/704969)
(-8676991/62500,630740359777/15625000)
(322484614/17161,5791844623101/2248091)
(-153836036/172225,2167348184187/71473375)
(135469009/84100,1859295235527/24389000)
(109738628/89401,1577279160257/26730899)
(-201800264/180625,1183434821859/76765625)
(193272559/48841,2722080324696/10793861)
(-23253296/198025,3558372406983/88121125)
(-76756919/66564,170767214747/17173512)
(-85120564/112225,1300089077941/37595375)
(111750593/37636,1217610858433/7301384)
(250280323/529,3959497412790/12167)
(209033918/27889,3028065403855/4657463)
(34725419/75625,864764300822/20796875)
(154297166/82369,2141400303337/23639903)
(176451334/65025,2437741978073/16581375)
(194954713/70756,2826285687357/18821096)
(173396737/88804,2521207390881/26463592)
(107951371/126025,2127198084294/44738875)
(-116398502/123201,1214572525633/43243551)
(145306247/12769,1752535454836/1442897)
(228681484/27225,3462930156977/4492125)
(59332004/130321,1954850784259/47045881)
(238489966/21609,3685264417603/3176523)
(166994353/111556,2631150373623/37259704)
(298177444/156025,5719299678753/61629875)
(480856282/169,10544425948779/2197)
(67917431/87025,1178568793796/25672375)
(204316694/89401,3113766023909/26730899)
(-69322028/149769,2269391790311/57960603)
(14693576/156025,2490515571199/61629875)
(-14967599/101124,1297885625927/32157432)
(-132278498/154449,1923270124031/60698457)
(305719336/225625,6879026464209/107171875)
(269227732/53361,4445512812595/12326391)
(-237056402/277729,4652285143335/146363183)
(-88668631/102400,1027345634347/32768000)
(79672438/168921,2893616813483/69426531)
(-95255836/172225,2733804752837/71473375)
(188924023/25281,2601826890112/4019679)
(204408919/11025,2922842183428/1157625)
(372736411/7225,7196234549466/614125)
(248125378/114921,4213478320613/38958219)
(355057886/1369,6690348870277/50653)
(-18548671/119716,1671551572351/41421736)
(44934919/207025,3817483988928/94196375)
(-168347303/204304,3024530246691/92345408)
(363788042/16129,6939105907711/2048383)
(100694002/346921,8316905357925/204336469)
(327146506/65025,5954961126529/16581375)
(217510199/34225,3218072555668/6331625)
(502287676/198025,11806701773799/88121125)
(427834738/261121,10362056040783/133432831)
(164791103/89401,2375154680432/26730899)
(285550564/136161,5234870840651/50243409)
(-27462517/137641,2058018714382/51064811)
(450593377/484,9564828919089/10648)
(-230111486/210681,1754608038461/96702579)
(409464766/31329,8288644235527/5545233)
(189192811/243049,5496037706778/119823157)
(786022066/42025,22039729957989/8615125)
(255271129/54756,4111238389571/12812904)
(308352791/289,5414667910592/4913)
(287914958/203401,6132035139053/91733851)
(-236225231/280900,4795287070647/148877000)
(114740516/286225,6307452103811/153130375)
(74514113/188356,3364654564543/81746504)
(-325962226/303601,3322886060911/167284151)
(525305884/114921,12142218180439/38958219)
