/** 
 * List of all reduced triples (y, x, a) of rational integers satisfying the 
 * Mordell equation    y^2 = x^3 + a    with c(a)<=185 and y>=0.
 * Here, c(a) is the multiplicative function that sends a prime power p^k to p^(min(2,k)).
 * This list contains 557 triples in total.
 * We do not list the only reduced solution for a=0, 1^2 = -1^3 + 0, since c(0) is not defined. 
 *
 * Format: "c(a): y^2 = x^3 + a" (without danger we omit the paranthesis around negative x). 
 * Authors: Rafael von Känel and Benjamin Matschke, 2014
 * License: Creative commons 3.0 by-nc.
116: 11^2 = -7^3 + 464
116: 20^2 = -4^3 + 464
116: 31^2 = 9^3 + 232
116: 79^2 = 33^3 + -29696
116: 92^2 = 20^3 + 464
116: 234^2 = 38^3 + -116
116: 243^2 = -7^3 + 59392
116: 1465^2 = 129^3 + -464
116: 1986^2 = 158^3 + -116
116: 14149^2 = 585^3 + -7424
116: 21659^2 = 777^3 + 14848
116: 26661^2 = 905^3 + -30408704
116: 1143439^2 = 10913^3 + 7784628224
117: 12^2 = 3^3 + 117
117: 18^2 = -9^3 + 1053
117: 18^2 = -3^3 + 351
117: 144^2 = 27^3 + 1053
117: 226^2 = 43^3 + -28431
117: 404^2 = 55^3 + -3159
117: 2224^2 = 295^3 + -20726199
118: 15^2 = 7^3 + -118
119: 386^2 = 53^3 + 119
121: 2^2 = 5^3 + -121
121: 43^2 = 12^3 + 121
121: 228^2 = 37^3 + 1331
121: 9324^2 = 443^3 + -1331
122: 11^2 = -1^3 + 122
124: 1^2 = 5^3 + -124
124: 4^2 = 8^3 + -496
124: 16^2 = 2^3 + 248
124: 35^2 = 9^3 + 496
124: 60^2 = 16^3 + -496
124: 63^2 = 1^3 + 3968
124: 123^2 = 25^3 + -496
124: 252^2 = 40^3 + -496
124: 263^2 = 41^3 + 248
124: 1201^2 = 113^3 + -496
124: 2271^2 = 193^3 + -2031616
124: 7067^2 = -247^3 + 65011712
124: 13252^2 = 560^3 + -496
124: 23699^2 = 825^3 + 126976
124: 417383^2 = 5585^3 + -7936
126: 1^2 = -5^3 + 126
126: 57^2 = 15^3 + -126
127: 10^2 = -3^3 + 127
127: 63^2 = 16^3 + -127
129: 2^2 = -5^3 + 129
129: 11^2 = -2^3 + 129
129: 65^2 = 16^3 + 129
131: 16^2 = 5^3 + 131
132: 4^2 = -8^3 + 528
132: 14^2 = 4^3 + 132
132: 16^2 = -2^3 + 264
132: 23^2 = 1^3 + 528
132: 65^2 = 1^3 + 4224
132: 68^2 = 16^3 + 528
132: 9371^2 = 265^3 + 69206016
132: 14404^2 = 592^3 + 528
132: 58649^2 = 1489^3 + 138412032
134: 3^2 = -5^3 + 134
138: 173^2 = 31^3 + 138
139: 322^2 = 47^3 + -139
140: 8^2 = -6^3 + 280
140: 13^2 = 9^3 + -560
140: 43^2 = 9^3 + 1120
140: 337^2 = -31^3 + 143360
140: 27971^2 = 921^3 + 1146880
141: 4^2 = -5^3 + 141
141: 22^2 = 7^3 + 141
141: 169852^2 = 3067^3 + 141
142: 13^2 = 3^3 + 142
143: 12^2 = 1^3 + 143
143: 51^2 = 14^3 + -143
145: 9^2 = -4^3 + 145
145: 12^2 = -1^3 + 145
145: 19^2 = 6^3 + 145
145: 397^2 = 54^3 + 145
146: 2723^2 = 195^3 + -146
147: 14^2 = 7^3 + -147
147: 868^2 = 91^3 + -147
147: 521116^2 = 6469^3 + 847425747
148: 11^2 = -3^3 + 148
148: 29^2 = -7^3 + 1184
148: 36^2 = 10^3 + 296
148: 45^2 = -7^3 + 2368
148: 97^2 = 21^3 + 148
148: 101^2 = 9^3 + 9472
148: 267^2 = 41^3 + 2368
148: 433^2 = 33^3 + 151552
148: 1627^2 = 137^3 + 75776
148: 2765^2 = 197^3 + -148
148: 9757^2 = -807^3 + 620756992
150: 5^2 = -5^3 + 150
150: 25^2 = -5^3 + 750
150: 103^2 = 19^3 + 3750
150: 2315^2 = 175^3 + -150
150: 21575^2 = 775^3 + -3750
151: 19^2 = 8^3 + -151
151: 1076^2 = 105^3 + 151
153: 24^2 = 9^3 + -153
153: 37^2 = -2^3 + 1377
153: 54^2 = 15^3 + -459
153: 80^2 = 19^3 + -459
153: 109^2 = -8^3 + 12393
153: 541^2 = -206^3 + 9034497
153: 548^2 = 67^3 + -459
153: 1097^2 = 106^3 + 12393
153: 1736^2 = 13^3 + 3011499
153: 50986^2 = 1375^3 + -37179
154: 111^2 = 23^3 + 154
155: 364^2 = 51^3 + -155
156: 25^2 = 1^3 + 624
