# Lists of S-integral points (x,y) on the Mordell curves
# y^2 = x^3 + a, with the following constraints:
# we consider only curves of rank r = 2,
# a is bounded by |a| <= 10000,
# S is the set of the first 300 primes.
# It contains 3426 curves in total.
# It contains 37852 points in total.
# For each point P, only one of +P, -P is listed.
# Format of the points: "(P(x),P(y))".
# Computing this list took 559268 seconds.
# Authors: Rafael von Känel and Benjamin Matschke, 2015.
# License: Creative commons 3.0 by-nc.
#
# a = -9989:
#
(187218631/2934369,2513305038034/5026574097)
(5765244071/14737921,437714871871214/56578878719)
(9052552545006401/50870901523456,860561467069664462380319/362830804091473199104)
(38682207665769209831/385228486923450625,239427040305240850187403332354/239098907845394694741109375)
#
# a = -9711:
#
(40,233)
(75,642)
(510,11517)
(26406/1225,748929/42875)
(1458414/55225,1210961337/12977875)
(4127184/21025,8379185127/3048625)
(1416880/54289,1136063521/12649337)
(4163025/183184,3529167591/78402752)
(1880323080/14737921,81345016524777/56578878719)
(15679181670/127622209,1958145353217741/1441748095073)
(26529037440/476243329,4197847856657961/10393058168767)
(5524678275555/140844835849,11895053986663063494/52858080980278757)
(21889487089510/722675110609,82602526376975947109/614348279554042727)
(67371171515569/142385475600,552956849053295483753/53727735362904000)
(333137533095379/10188385205625,5167357358618403614258/32520561447464578125)
#
# a = -9710:
#
(13679/169,1585143/2197)
(77009/2704,16270233/140608)
(1202919/8281,1317242107/753571)
(184473200031/7711474225,42718934640818071/677183109068375)
(3739375727494289/2996727983236,228663881793690281432697/5187653792147739016)
#
# a = -9709:
#
(73109/3025,11045852/166375)
(1048573/9,1073737216/27)
(6341273/258064,9387859139/131096512)
#
# a = -9687:
#
(22,31)
(13876/361,1488623/6859)
(88474/529,26288959/12167)
(484792/961,337533421/29791)
(1125703/16641,1175524840/2146689)
(105229297/4088484,709364364695/8266914648)
(1506711891331/53742830625,1384501324165248646/12458931709640625)
(410056256292754/441511078369,8303525771201025379241/293367775666300847)
