# List of all S-integral points on all rational elliptic curves (using Cremona's database) up to conductor 100,
# where S is the set of the first 10000 primes.
# It contains 1724 points in total.
# Format: "(x,y)".
# Computing this list took 121892 seconds.
# Authors: Rafael von Känel and Benjamin Matschke, 2015.
# License: Creative commons 3.0 by-nc.
#
# a-invariants: (0, -1, 1, -10, -20)
# Cremona label: 11a1
#
# a-invariants: (1, -1, 0, -1215, 16600)
# Cremona label: 45a5
#
(20,-10)
(83/4,-83/8)
(-40,20)
#
# a-invariants: (1, -1, 0, 315, 1066)
# Cremona label: 45a6
#
(-13/4,13/8)
#
# a-invariants: (1, -1, 0, -19440, 1048135)
# Cremona label: 45a7
#
(323/4,-323/8)
#
# a-invariants: (1, -1, 0, -990, 22765)
# Cremona label: 45a8
#
(-157/4,157/8)
#
# a-invariants: (1, -1, 0, -10, -12)
# Cremona label: 46a1
#
(4,-2)
#
# a-invariants: (1, -1, 0, -170, -812)
# Cremona label: 46a2
#
(-29/4,29/8)
#
# a-invariants: (0, 1, 0, -4, -4)
# Cremona label: 48a1
#
(-1,0)
(-2,0)
(2,0)
#
# a-invariants: (0, 1, 0, -64, -220)
# Cremona label: 48a2
#
(-5,0)
#
# a-invariants: (0, 1, 0, -24, 36)
# Cremona label: 48a3
#
(6,-12)
(2,0)
(0,-6)
(6,12)
(3,0)
(-6,0)
(0,6)
#
# a-invariants: (0, 1, 0, 1, 0)
# Cremona label: 48a4
#
(0,0)
#
# a-invariants: (0, 1, 0, -384, 2772)
# Cremona label: 48a5
#
(12,-6)
(11,0)
(12,6)
#
# a-invariants: (0, 1, 0, 16, 180)
# Cremona label: 48a6
#
(22,108)
(-5,0)
(-2,12)
(4,18)
(-2,-12)
(4,-18)
(22,-108)
#
# a-invariants: (1, -1, 0, -2, -1)
# Cremona label: 49a1
#
(2,-1)
#
# a-invariants: (1, -1, 0, -37, -78)
# Cremona label: 49a2
#
(-13/4,13/8)
#
# a-invariants: (1, -1, 0, -107, 552)
# Cremona label: 49a3
#
(-12,6)
#
# a-invariants: (1, -1, 0, -1822, 30393)
# Cremona label: 49a4
#
(99/4,-99/8)
#
# a-invariants: (1, 0, 1, -1, -2)
# Cremona label: 50a1
#
(2,1)
(2,-4)
#
# a-invariants: (1, 0, 1, -126, -552)
# Cremona label: 50a2
#
#
# a-invariants: (1, 0, 1, -76, 298)
# Cremona label: 50a3
#
(2,-14)
(2,11)
#
# a-invariants: (1, 0, 1, 549, -2202)
# Cremona label: 50a4
#
#
# a-invariants: (1, 1, 1, -3, 1)
# Cremona label: 50b1
#
(-1,2)
(1,0)
(1,-2)
(-1,-2)
#
# a-invariants: (1, 1, 1, 22, -9)
# Cremona label: 50b2
#
(9,27)
(1,-5)
(1,3)
(9,-37)
#
# a-invariants: (1, 1, 1, -13, -219)
# Cremona label: 50b3
#
#
# a-invariants: (1, 1, 1, -3138, -68969)
# Cremona label: 50b4
#
#
# a-invariants: (0, 1, 1, 1, -1)
# Cremona label: 51a1
#
(1,1)
(1,-2)
#
# a-invariants: (0, 1, 1, -59, -196)
# Cremona label: 51a2
#
#
# a-invariants: (0, 0, 0, 1, -10)
# Cremona label: 52a1
#
(2,0)
#
# a-invariants: (0, 0, 0, -4, -3)
# Cremona label: 52a2
#
(-1,0)
#
# a-invariants: (1, -1, 1, 0, 0)
# Cremona label: 53a1
#
(0,-1)
(0,0)
(1,-2)
(1,0)
(2,-4)
(2,1)
(-1/4,-1/8)
(-1/4,-5/8)
(10,25)
(10,-36)
(9/25,-162/125)
(9/25,-8/125)
(40/81,-1025/729)
(40/81,-64/729)
(369/64,4941/512)
(369/64,-8405/512)
(-488/1681,-33489/68921)
(-488/1681,-15424/68921)
(9881/3721,-1294370/226981)
(9881/3721,464648/226981)
