# List of all rational elliptic curves with good reduction outside S, up to Q-isomorphisms,
# for all sets S = {2, p},
# where p ranges over all other primes less or equal to 250.
# It contains 9416 pairs (c4,c6), some of which may appear for more than one S.
# Format: "(c4,c6)".
# Computing this list took 1490 seconds.
# Authors: Rafael von Känel and Benjamin Matschke, 2015.
# License: Creative commons 3.0 by-nc.
#
#
# S = {2, 3}:
#
(279648,147882240)
(7776,559872)
(7776,-559872)
(7488,-483840)
(7488,483840)
(32832,-5930496)
(32832,5930496)
(111168,-37062144)
(111168,37062144)
(15552,-1866240)
(15552,1866240)
(40320,8073216)
(40320,-8073216)
(10368,-746496)
(10368,746496)
(61056,15068160)
(25920,4105728)
(25920,-4105728)
(61056,-15068160)
(11664,-979776)
(11664,979776)
(19008,2446848)
(19008,-2446848)
(15552,1679616)
(15552,-1679616)
(10368,0)
(23328,-3359232)
(11664,-419904)
(2344464,3589759296)
(12393,702027)
(11664,419904)
(69984,18475776)
(69984,-18475776)
(2344464,-3589759296)
(23328,3359232)
(664128,-541223424)
(664128,541223424)
(73872,20015424)
(15552,-1119744)
(15552,1119744)
(42048,-8225280)
(42048,8225280)
(378432,-232782336)
(22032,1664064)
(378432,232782336)
(1118592,-1183057920)
(31104,-4478976)
(31104,4478976)
(1118592,1183057920)
(42768,8258112)
(46656,-7838208)
(46656,7838208)
(851472,-785640384)
(93312,-26873856)
(93312,26873856)
(279936,-147806208)
(9377856,-28718074368)
(9377856,28718074368)
(46656,-3359232)
(279936,147806208)
(46656,3359232)
(295488,160123392)
(295488,-160123392)
(88128,13312512)
(88128,-13312512)
(171072,-66064896)
(171072,66064896)
(3405888,6285123072)
(198288,-44929728)
(3405888,-6285123072)
(793152,359437824)
(793152,-359437824)
#
# S = {2, 5}:
#
(-1688000,-994240000)
(-1688000,994240000)
(-422000,-124280000)
(9640000,-29931200000)
(9640000,29931200000)
(40000,-94400000)
(40000,94400000)
(174400,-110528000)
(174400,110528000)
(232000,-134720000)
(232000,134720000)
(-62400,29376000)
(-62400,-29376000)
(-80000,-6400000)
(2410000,-3741400000)
(-80000,6400000)
(-67520,7953920)
(-67520,-7953920)
(73600,-25984000)
(73600,25984000)
(120000,-43200000)
(120000,43200000)
(10000,-11800000)
(-48000,0)
(43600,13816000)
(43600,-13816000)
(58000,16840000)
(-24000,8640000)
(-24000,-8640000)
(304000,167680000)
(40000,9280000)
(16000,-5120000)
(304000,-167680000)
(-26375,1941875)
(16000,5120000)
(40000,-9280000)
(-15600,-3672000)
(-15600,3672000)
(-24000,0)
(9600,3456000)
(-17600,-2368000)
(9600,-3456000)
(-17600,2368000)
(-20000,-800000)
(-20000,800000)
(-16880,-994240)
(-8000,2240000)
(-8000,-2240000)
(18400,-3248000)
(18400,3248000)
(1600,1664000)
(1600,-1664000)
(385600,-239449600)
(385600,239449600)
(30000,-5400000)
(30000,5400000)
(-12000,0)
(-6000,-1080000)
(-6000,1080000)
(-9600,0)
(1600,755200)
(1600,-755200)
(6976,-884224)
(-3200,640000)
(-3200,-640000)
(6976,884224)
(9280,-1077760)
(9280,1077760)
(76000,-20960000)
(10000,1160000)
(4000,-640000)
(4000,640000)
(10000,-1160000)
(76000,20960000)
(-6000,0)
(-4400,296000)
(2400,-432000)
(-4400,-296000)
(2400,432000)
(150625,58459375)
(-4800,0)
(-2000,280000)
(-2000,-280000)
(-2496,235008)
(-2496,-235008)
(400,208000)
(400,-208000)
(-3200,-51200)
(96400,-29931200)
(-3200,51200)
(625,184375)
(3625,-263125)
(2944,207872)
(2944,-207872)
(-2400,0)
(400,-94400)
(4800,-345600)
(4800,345600)
(-1920,0)
(1744,-110528)
(1744,110528)
(-800,-80000)
(-800,80000)
(-960,-69120)
(-960,69120)
(2320,134720)
(-1200,0)
(1600,-74240)
(640,-40960)
(1600,74240)
(640,40960)
(-1055,15535)
(12160,1341440)
(12160,-1341440)
(-624,29376)
(-624,-29376)
(-960,0)
(-704,18944)
(384,-27648)
(-704,-18944)
(384,27648)
(-800,6400)
(-800,-6400)
(-320,17920)
(-320,-17920)
(736,-25984)
(736,25984)
(64,-13312)
(64,13312)
(1200,43200)
(1200,-43200)
(-480,0)
(-240,8640)
(-240,-8640)
(-384,0)
(-128,5120)
(-128,-5120)
(160,-5120)
(400,-9280)
(160,5120)
(3040,167680)
(400,9280)
(3040,-167680)
(-240,0)
(-176,-2368)
(96,-3456)
(-176,2368)
(96,3456)
(6025,467675)
(-192,0)
(-80,-2240)
(-80,2240)
(16,1664)
(16,-1664)
(25,1475)
(145,-2105)
(-96,0)
(-32,640)
(-32,-640)
(-48,0)
(48,0)
(64,352)
(96,864)
(96,-864)
(64,-352)
(112,-1088)
(112,1088)
(304,5248)
(304,-5248)
(160,-1792)
(528,-12096)
(96,0)
(528,12096)
(160,1792)
(624,-15552)
(624,15552)
(1984,88352)
(160,800)
(160,-800)
(1984,-88352)
(3184,179648)
(3184,-179648)
(192,0)
(384,6912)
(5136,368064)
(5136,-368064)
(256,-2816)
(384,-6912)
(256,2816)
(336,5184)
(336,-5184)
(240,0)
(448,8704)
(448,-8704)
(1216,41984)
(1216,-41984)
(1360,-49600)
(1360,49600)
(384,0)
(2112,96768)
(640,14336)
(2112,-96768)
(640,-14336)
(2496,-124416)
(2496,124416)
(480,0)
(640,-6400)
(640,6400)
(7936,706816)
(7936,-706816)
(12736,1437184)
(12736,-1437184)
(20544,-2944512)
(20544,2944512)
(1344,-41472)
(1344,41472)
(960,0)
(1200,0)
(1600,44000)
(1600,-44000)
(2400,108000)
(2400,-108000)
(2800,136000)
(2800,-136000)
(5440,-396800)
(5440,396800)
(1920,0)
(7600,-656000)
(7600,656000)
(2400,0)
(4000,224000)
(13200,-1512000)
(4000,-224000)
(13200,1512000)
(15600,-1944000)
(15600,1944000)
(4000,-100000)
(49600,-11044000)
(4000,100000)
(49600,11044000)
(79600,-22456000)
(79600,22456000)
(4800,0)
(6400,-352000)
(6400,352000)
(128400,46008000)
(128400,-46008000)
(9600,-864000)
(9600,864000)
(8400,-648000)
(8400,648000)
(6000,0)
(11200,-1088000)
(11200,1088000)
(30400,-5248000)
(30400,5248000)
(34000,6200000)
(34000,-6200000)
(16000,1792000)
(52800,-12096000)
(9600,0)
(52800,12096000)
(16000,-1792000)
(62400,-15552000)
(62400,15552000)
(12000,0)
(198400,-88352000)
(16000,-800000)
(198400,88352000)
(16000,800000)
(318400,-179648000)
(318400,179648000)
(513600,-368064000)
(513600,368064000)
(33600,5184000)
(33600,-5184000)
(24000,0)
(136000,-49600000)
(136000,49600000)
(48000,0)
#
# S = {2, 7}:
#
(25668160,-130419993088)
(25668160,130419993088)
(6417040,16302499136)
(-674240,929184256)
(-674240,-929184256)
(329280,-232339968)
(-168560,116148032)
(329280,232339968)
(-131712,0)
(78400,-44430848)
(78400,44430848)
(523840,-380233216)
(523840,380233216)
(401065,-254726549)
(-65856,0)
(21952,-17210368)
(21952,17210368)
(82320,29042496)
(3136,-9658880)
(3136,9658880)
(-32928,0)
(-9408,4741632)
(19600,-5553856)
(-9408,-4741632)
(130960,-47529152)
(-13760,2708992)
(-13760,-2708992)
(-18816,0)
(-15680,1404928)
(-15680,-1404928)
(-16464,0)
(-10535,-1814813)
(5488,2151296)
(5488,-2151296)
(-6272,-1756160)
(-6272,1756160)
(784,-1207360)
(784,1207360)
(-9408,0)
(-2352,-592704)
(-2352,592704)
(-3440,-338624)
(6720,-677376)
(6720,677376)
(-4704,0)
(-3920,175616)
(-3920,-175616)
(5145,-453789)
(-1568,-219520)
(-1568,219520)
(-2688,0)
(-2352,0)
(1600,-129536)
(1600,129536)
(1225,86779)
(8185,742643)
(448,-50176)
(1680,-84672)
(448,50176)
(-1344,0)
(64,-28160)
(64,28160)
(-672,0)
(-192,-13824)
(-192,13824)
(400,16192)
(-384,0)
(-320,4096)
(-320,-4096)
(112,-6272)
(-215,5291)
(112,6272)
(-336,0)
(-128,5120)
(-128,-5120)
(16,3520)
(16,-3520)
(-192,0)
(-48,-1728)
(-48,1728)
(-96,0)
(-80,512)
(-80,-512)
(105,1323)
(-32,640)
(-32,-640)
(-48,0)
(25,-253)
(48,0)
(505,-11341)
(112,-1088)
(112,1088)
(1785,75411)
(160,-1792)
(528,12096)
(160,1792)
(96,0)
(528,-12096)
(112,-224)
